"Code","Sampling period","Date","Site","Treatment","Camera no.","TapeReader","spp","Bites"
"EP_RS2_A1_18June2025","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1","SBP","Parupeneus.spilurus",5
"EP_RS2_B1_18June2025","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1","SBP","Omobranchus.rotundiceps",2
"EP_RS2_B7_20Apr2026","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7","SBP","Parupeneus.spilurus",1
"SW_CON1_A8_18June2025","Baseline 2","18/06/2025","Spit West","Control 1","A8","SBP","Acanthopagrus.australis",30
"SW_CON1_ER-M2_B2_20Apr2026","6 months","20/04/2026","Spit West","Control 1","B2","SBP","Gerres.subfasciatus",21
"SW_CON2_B7_18June2025","Baseline 2","18/06/2025","Spit West","Control 2","B7","SBP","Acanthopagrus.australis",1
"SW_CON2_ER-M5_A6_20Apr2026","6 months","20/04/2026","Spit West","Control 2","A6","SBP","Omobranchus.anolius",7
"SW_MOD_B10_18June2025","Baseline 2","18/06/2025","Spit West","Modified","B10","SBP","Acanthopagrus.australis",10
"SW_MOD_B2_18June2025","Baseline 2","18/06/2026","Spit West","Modified","B2","SBP","Acanthopagrus.australis",5
"SW_MOD_B2_18June2025","Baseline 2","18/06/2026","Spit West","Modified","B2","SBP","Girella.tricuspidata",322
"SW_MOD_ER-M1_B4_30Apr2026","6 months","30/04/2026","Spit West","Modified Existing Revetment","B4","SBP","Girella.tricuspidata",7
"SW_MOD_ER-M1_B4_30Apr2026","6 months","30/04/2026","Spit West","Modified Existing Revetment","B4","SBP","Scobinichthys.granulatus",5
"SW_MOD_ER-M2_B3_01May2026","6 months","01/05/2026","Spit West","Modified Existing Revetment","B3","SBP","Acanthopagrus.australis",15
"SW_MOD_ER-M2_B3_01May2026","6 months","01/05/2026","Spit West","Modified Existing Revetment","B3","SBP","Girella.tricuspidata",1
"SW_MOD_ER-M2_B3_01May2026","6 months","01/05/2026","Spit West","Modified Existing Revetment","B3","SBP","Scobinichthys.granulatus",3
"SW_MOD_ER-M3_A4_20Apr2026","6 months","20/04/2026","Spit West","Modified Existing Revetment","A4","SBP","Acanthopagrus.australis",1
"SW_MOD_ER-M3_A4_20Apr2026","6 months","20/04/2026","Spit West","Modified Existing Revetment","A4","SBP","Scobinichthys.granulatus",1
"SW_MOD_ER-M3_A8_01May2026","6 months","01/05/2026","Spit West","Modified Existing Revetment","A8","SBP","Acanthopagrus.australis",3
"SW_MOD_ER-M3_A8_01May2026","6 months","01/05/2026","Spit West","Modified Existing Revetment","A8","SBP","Girella.tricuspidata",6
"SW_MOD_ER-M3_A8_01May2026","6 months","01/05/2026","Spit West","Modified Existing Revetment","A8","SBP","Monodactylus.argenteus",1
"SW_MOD_ER-M3_A9_30Apr2026","6 months","30/04/2026","Spit West","Modified Existing Revetment","A9","SBP","Acanthopagrus.australis",64
"SW_MOD_ER-M3_A9_30Apr2026","6 months","30/04/2026","Spit West","Modified Existing Revetment","A9","SBP","Girella.tricuspidata",32
"SW_MOD_ER-M4_A1_30Apr2026","6 months","30/04/2026","Spit West","Modified Existing Revetment","A1","SBP","Acanthopagrus.australis",9
"SW_MOD_ER-M4_A1_30Apr2026","6 months","30/04/2026","Spit West","Modified Existing Revetment","A1","SBP","Girella.tricuspidata",71
"SW_MOD_ER-M4_A1_30Apr2026","6 months","30/04/2026","Spit West","Modified Existing Revetment","A1","SBP","Scobinichthys.granulatus",8
"SW_MOD_ER-M4_B8_20Apr2026","6 months","20/04/2026","Spit West","Modified Existing Revetment","B8","SBP","Acanthopagrus.australis",2
"SW_MOD_ER-M4_B8_20Apr2026","6 months","20/04/2026","Spit West","Modified Existing Revetment","B8","SBP","Scobinichthys.granulatus",3
"SW_MOD_LB-M2_A7_30Apr2026","6 months","30/04/2026","Spit West","Modified Living Boulder","A7","SBP","Girella.tricuspidata",5
"SW_MOD_LB-M2_A7_30Apr2026","6 months","30/04/2026","Spit West","Modified Living Boulder","A7","SBP","Scobinichthys.granulatus",12
"SW_MOD_LB-M2_B1_20Apr2026","6 months","20/04/2026","Spit West","Modified Living Boulder","B1","SBP","Girella.tricuspidata",5
"SW_MOD_LB-M2_B1_20Apr2026","6 months","20/04/2026","Spit West","Modified Living Boulder","B1","SBP","Meuschenia.trachylepis",3
"SW_MOD_LB-M2_B1_20Apr2026","6 months","20/04/2026","Spit West","Modified Living Boulder","B1","SBP","Trachinops.taeniatus",1
"SW_MOD_LB-M3_A2_01May2026","6 months","01/05/2026","Spit West","Modified Living Boulder","A2","SBP","Acanthopagrus.australis",20
"SW_MOD_LB-M3_A2_01May2026","6 months","01/05/2026","Spit West","Modified Living Boulder","A2","SBP","Girella.tricuspidata",1
"SW_MOD_LB-M3_B2_30Apr2026","6 months","30/04/2026","Spit West","Modified Living Boulder","B2","SBP","Acanthopagrus.australis",8
"SW_MOD_LB-M3_B2_30Apr2026","6 months","30/04/2026","Spit West","Modified Living Boulder","B2","SBP","Girella.tricuspidata",15
"SW_MOD_LB-M4_A7_20Apr2026","6 months","20/04/2026","Spit West","Modified Living Boulder","A7","SBP","Scobinichthys.granulatus",1
"SW_MOD_LB-M4_B2_01May2026","6 months","01/05/2026","Spit West","Modified Living Boulder","B2","SBP","Acanthopagrus.australis",5
"SW_MOD_LB-M4_B2_01May2026","6 months","01/05/2026","Spit West","Modified Living Boulder","B2","SBP","Girella.tricuspidata",22
"SW_MOD_LB-M5_A5_20Apr2026","6 months","20/04/2026","Spit West","Modified Living Boulder","A5","SBP","Acanthopagrus.australis",16
"SW_MOD_LB-M5_B7_01May2026","6 months","01/05/2026","Spit West","Modified Living Boulder","B7","SBP","Acanthopagrus.australis",2
"SW_MOD_LB-M5_B7_01May2026","6 months","01/05/2026","Spit West","Modified Living Boulder","B7","SBP","Girella.tricuspidata",65
"SW_MOD_LB-M5_B8_30Apr2026","6 months","30/04/2026","Spit West","Modified Living Boulder","B8","SBP","Acanthopagrus.australis",7
