"Code","TapeReader","Sampling period","Date","Site","Treatment","Camera no.","Omobranchus.rotundiceps","Parupeneus.spilurus","Abudefduf.sexfasciatus","Acanthopagrus.australis","Tetractenos.hamiltoni","Omobranchus.anolius","Favonigobius.exquisitus","Scobinichthys.granulatus","Microcanthus.strigatus","Girella.elevata","Ambassis.spp","Trachinops.taeniatus","Istiblennius.edentulus","Gerres.subfasciatus","Girella.tricuspidata","Mugil.cephalus","Acanthopagrus.butcheri","Favonigobius.lentiginosus","Monodactylus.argenteus","Unidentified","Pseudocaranx.georgianus","Tetractenos.glaber","Achoerodus.viridis","Meuschenia.trachylepis","Monacanthus.chinensis","Richness","Observations"
"EP_RS2_A1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A1",7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
"EP_RS2_A2_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","A2",0,32,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44
"EP_RS2_A6_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","A6",6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
"EP_RS2_B1_18June2025","SBP","Baseline 2","18/06/2025","Ellery Punt","Rocky shore 2","B1",13,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24
"EP_RS2_B5_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B5",2,13,10,7,0,3,4,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,56
"EP_RS2_B7_20Apr2026","SBP","6 months","20/04/2026","Ellery Punt","Rocky shore 2","B7",1,15,3,7,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34
"PB_RS1_B10_20Apr2026","SBP","6 months","20/04/2026","Pearl Bay","Rocky shore 1","B10",0,0,0,9,0,0,4,0,0,0,376,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,418
"PB_RS1_B8_18June2025","SBP","Baseline 2","18/06/2025","Pearl Bay","Rocky shore 1","B8",0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43
"PB_RS1_B9_20Apr2026","SBP","6 months","20/04/2026","Pearl Bay","Rocky shore 1","B9",0,0,0,1,2,2,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,26
"SW_CON1_A8_18June2025","SBP","Baseline 2","18/06/2025","Spit West","Control 1","A8",0,0,0,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33
"SW_CON1_B5_18June2025","SBP","Baseline 2","18/06/2025","Spit West","Control 1","B5",0,0,0,8,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,3,31
"SW_CON1_ER-M1_B3_20Apr2026","SBP","6 months","20/04/2026","Spit West","Control 1","B3",0,0,0,48,0,3,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,524
"SW_CON1_ER-M2_B2_20Apr2026","SBP","6 months","20/04/2026","Spit West","Control 1","B2",0,0,0,40,0,4,0,0,0,0,446,0,0,6,0,1,0,0,0,0,0,0,0,0,0,5,497
"SW_CON1_ER-M4_A1-20Apr2026","SBP","6 months","20/04/2026","Spit West","Control 1","A1",0,0,0,21,0,1,1,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,509
"SW_CON2_A5_18June2025","SBP","Baseline 2","18/06/2025","Spit West","Control 2","A5",0,0,0,5,1,2,0,0,0,0,44,36,0,0,0,0,0,0,0,0,0,0,0,0,0,5,88
"SW_CON2_B3_18June2025","SBP","Baseline 2","18/06/2025","Spit West","Control 2","B3",0,0,0,29,0,2,0,0,0,0,15,42,0,0,0,0,1,0,0,0,0,0,0,0,0,5,89
"SW_CON2_B7_18June2025","SBP","Baseline 2","18/06/2025","Spit West","Control 2","B7",0,0,0,50,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,54
"SW_CON2_ER-M2_B6_20Apr2026","SBP","6 months","20/04/2026","Spit West","Control 2","B6",0,0,0,9,0,2,3,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,5,39
"SW_CON2_ER-M4_A10_20Apr2026","SBP","6 months","20/04/2026","Spit West","Control 2","A10",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
"SW_CON2_ER-M5_A6_20Apr2026","SBP","6 months","20/04/2026","Spit West","Control 2","A6",0,0,0,21,0,15,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,42
"SW_MOD_B10_18June2025","SBP","Baseline 2","18/06/2025","Spit West","Modified","B10",0,0,0,11,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,14
"SW_MOD_B2_18June2025","SBP","Baseline 2","18/06/2026","Spit West","Modified","B2",0,0,0,20,0,0,1,0,0,0,0,0,2,0,44,0,3,0,0,0,0,0,0,0,0,5,70
"SW_MOD_B6_18June2025","SBP","Baseline 2","18/06/2025","Spit West","Modified","B6",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"SW_MOD_ER-M1_B4_30Apr2026","SBP","6 months","30/04/2026","Spit West","Modified Existing Revetment","B4",0,0,0,44,0,0,1,5,0,0,142,32,0,0,27,0,0,0,2,1,0,0,0,0,0,8,254
"SW_MOD_ER-M2_B3_01May2026","SBP","6 months","01/05/2026","Spit West","Modified Existing Revetment","B3",2,1,0,56,0,0,5,3,2,0,124,82,0,0,30,0,0,0,2,0,0,0,0,0,0,10,307
"SW_MOD_ER-M3_A4_20Apr2026","SBP","6 months","20/04/2026","Spit West","Modified Existing Revetment","A4",3,0,0,25,0,5,0,2,0,0,52,96,0,0,1,0,0,0,0,0,1,0,0,0,0,8,185
"SW_MOD_ER-M3_A8_01May2026","SBP","6 months","01/05/2026","Spit West","Modified Existing Revetment","A8",0,0,0,61,0,3,0,0,0,0,410,39,0,0,17,0,0,0,6,0,0,0,0,0,0,6,536
"SW_MOD_ER-M3_A9_30Apr2026","SBP","6 months","30/04/2026","Spit West","Modified Existing Revetment","A9",0,0,0,64,0,3,0,3,1,0,228,40,0,0,19,0,0,0,0,0,0,2,0,0,0,8,360
"SW_MOD_ER-M4_A1_30Apr2026","SBP","6 months","30/04/2026","Spit West","Modified Existing Revetment","A1",0,0,0,70,0,7,0,7,0,0,230,14,0,0,32,0,0,0,2,0,0,0,0,0,0,7,362
"SW_MOD_ER-M4_B8_20Apr2026","SBP","6 months","20/04/2026","Spit West","Modified Existing Revetment","B8",0,0,0,27,0,7,0,1,0,0,0,34,0,0,1,0,0,0,0,0,1,0,1,0,0,7,72
"SW_MOD_ER-M5_B4_01May2026","SBP","6 months","01/05/2026","Spit West","Modified Existing Revetment","B4",3,0,0,32,0,0,2,0,0,0,57,58,0,0,9,0,0,0,0,0,0,0,0,1,0,7,162
"SW_MOD_ER-M5_B4_20Apr2026","SBP","6 months","20/04/2026","Spit West","Modified Existing Revetment","B4",0,0,0,15,0,0,1,1,0,0,14,5,0,0,0,0,0,1,0,0,0,0,0,0,0,6,37
"SW_MOD_LB-M2_A7_30Apr2026","SBP","6 months","30/04/2026","Spit West","Modified Living Boulder","A7",0,0,0,59,0,0,0,8,16,0,174,29,0,1,38,0,0,0,1,2,0,0,0,0,3,10,331
"SW_MOD_LB-M2_B1_20Apr2026","SBP","6 months","20/04/2026","Spit West","Modified Living Boulder","B1",0,3,0,26,0,1,0,0,1,0,0,24,0,0,26,1,0,0,0,0,3,0,0,4,0,9,89
"SW_MOD_LB-M3_A2_01May2026","SBP","6 months","01/05/2026","Spit West","Modified Living Boulder","A2",0,0,0,52,0,4,1,0,0,0,179,74,0,0,30,0,0,0,3,0,0,0,0,0,0,7,343
"SW_MOD_LB-M3_B2_30Apr2026","SBP","6 months","30/04/2026","Spit West","Modified Living Boulder","B2",0,0,0,75,0,1,4,0,1,0,123,52,0,0,16,0,0,0,0,0,0,0,0,0,0,7,272
"SW_MOD_LB-M4_A7_20Apr2026","SBP","6 months","20/04/2026","Spit West","Modified Living Boulder","A7",0,0,0,24,0,0,3,2,0,0,339,104,0,2,0,0,0,0,0,0,0,0,0,0,0,6,474
"SW_MOD_LB-M4_B2_01May2026","SBP","6 months","01/05/2026","Spit West","Modified Living Boulder","B2",0,0,0,52,0,5,0,0,0,0,123,19,0,0,22,0,0,0,5,0,0,0,0,0,0,6,226
"SW_MOD_LB-M5_A5_20Apr2026","SBP","6 months","20/04/2026","Spit West","Modified Living Boulder","A5",3,0,0,31,0,1,0,1,0,0,168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,206
"SW_MOD_LB-M5_B7_01May2026","SBP","6 months","01/05/2026","Spit West","Modified Living Boulder","B7",0,0,0,56,1,2,0,0,3,0,257,76,0,0,35,0,1,0,1,0,0,1,0,0,0,10,433
"SW_MOD_LB-M5_B8_30Apr2026","SBP","6 months","30/04/2026","Spit West","Modified Living Boulder","B8",1,0,0,47,0,1,0,0,0,0,248,12,0,4,11,0,0,0,1,0,0,1,0,0,0,9,326
